x,y, svar1, svar2, svar3, rigtigt svar nr
182,-56,Nakskov,Roskilde,Slagelse,2
215,-56,Århus,Odense,København,3
82,-85,Herning,Odense,Svendborg,2
49,94,Randers,Ålborg,Tønder,2
46,-136,Sønderborg,Helsingør,Esbjerg,1
-45,-67,Esbjerg,Roskilde,Odense,1
197,-26,Horsens,Hillerød,Slagelse,2
145,-83,Ringsted,Maribo,Slagelse,3
150,-155,Rønne,Haderslev,Maribo,3
67,1,Ålborg,Næstved,Århus,3
169,-81,Ringsted,Viborg,Hillerød,1
24,-49,Esbjerg,Vejle,Vordingborg,2
167,-108,Sorø,Silkeborg,Næstved,3
193,135,Svendborg,Rønne,Holbæk,2
188,-78,Slagelse,Esbjerg,Køge,3
