Spørgsmål,svar1,svar2,svar3,rigtigt svar nr
Hvilket dyr er størst?,elefant,blåhval,hvidhaj,2
Hvor ligger Thailand?,Asien,Afrika,Sydamerika,1
Hvor lang tid er Jorden om en tur rundt om Solen?,et år,en måned,et døgn,1
Hvad hedder Sveriges hovedstad?,Oslo,Stockholm,Malmø,2
Hvad hedder Englands konge?,William,Philip,Charles,3
Hvor bruger man hundeslæder?,Rumænien,Grønland,Chile,2
Hvor kom vikingerne fra?,Skandinavien,England,Portugal,1
Hvor lang kan en kvælerslange blive?,2 meter,10 meter,25 meter,2
Hvem er disse er ikke en dansk fodboldspiller?,Christian Eriksen,Peter Schmeichel,Mikkel Hansen,3
Hvad hedder Harry Potters skole?,Dumbledore,Hagrid,Hogwarts,3
Hvor ligger Amalienborg?,København,Hillerød,Helsingør,1
Hvor findes en såkaldt sort boks?,i fly,i bankers kælder,i træningslokalet,1
Hvor mange meter går der på en kilometer?,1 million,1000,100,2
Hvad er en albatros?,fugl,skildpadde,hval,1
Hvor kommer lakrids fra?,lakridsrosenblade,en slags lakridssukkerrør,rødderne af lakridsplanten,3
